86642dfe-61b0-3d01-b9f8-4809f22948fe_TimBANK: 5900.0
af5c6f36-445d-3786-803d-c2e3ba0dc3ed_TimBANK: 1100.0
02a8b007-c53f-397c-862d-497cebb396d4_TimBANK: 111850.0
0cbd32c1-c2e0-3cc3-8303-16e442b99f37_TimBANK: 1300.0
f91b4bf8-5aed-3b4e-b9f9-a00743976f96_TimBANK: 3200.0
f4e6d232-bd29-3942-8e21-8ca0f5fd1f18_TimBANK: 400.0
092284e3-ca1c-3cab-ac1c-4f4070f710a3_TimBANK: 2440.0
e5e28c3b-b328-3780-ba52-3a42b3b36263_TimBANK: 1600.0
6609e428-f280-3af8-86db-ad347b18e3a7_TimBANK: 1800.0
cc6b327a-8e72-3a6d-81e1-8962ecb75607_TimBANK: 5200.0
108b80af-222a-3406-b923-ab826a39e09b_TimBANK: 1000.0
4b5ef2db-d2df-3158-a67a-75fb486bc830_TimBANK: 400.0
